NoPaymentDue,Enlisted,Enrolled,Units,Disabled,Unemployed,Region,Marital_Status,Gender,Longest_Absence_From_School,Filed_For_Bankruptcy,LongTermPlanningScore,DecisionStyle,PowerOrientedScore,CommunityOrientedScore,Parent_Education_Level,Credit_Score_Raw,Credit_Score_AgeAdj,Loan_Amount,HS_Math,HS_Science,HS_English,Family_Income_normalized,School_occ,School_smc,School_ucb,School_uci,School_ucla,School_ucsd,Service_air_force,Service_army,Service_fire_department,Service_foreign_legion,Service_marines,Service_navy,Service_peace_corps
pos,1,1,14.0,0,1,1,1,0,7,0,0.8432894426975494,1,0.8081106478775791,0.569836503352235,1,0.6399118657247527,0.8081106478775791,1,10.0,10.0,9.0,0.23947066144289025,1,0,0,0,0,1,1,0,0,0,0,0,0
pos,1,1,4.0,0,0,2,1,0,4,1,0.6626244153190847,0,1.0,0.004696932279330213,0,0.9896822745611644,0.5978390684485153,1,9.0,9.0,6.0,0.3775501863914876,0,1,0,0,0,0,0,0,1,0,0,0,0
pos,0,1,2.0,0,0,5,0,0,1,1,0.9942137292546249,0,0.8550129837819441,0.4410152535215926,3,0.7772845307108582,0.4410152535215926,0,8.0,9.0,5.0,0.4058077442180336,0,1,1,0,0,0,0,0,0,0,0,0,0
pos,1,1,11.0,0,1,3,1,0,7,0,0.8892887837282615,1,0.7805572359977059,0.30105915533567895,0,0.6127623570628202,0.7805572359977059,1,9.0,10.0,10.0,0.6096828447109763,0,1,0,0,0,0,0,0,0,0,0,1,0
pos,0,1,9.0,0,0,3,1,1,1,0,0.8608423180705351,1,0.8291908677397436,0.4677547178334862,3,0.585587124021913,0.8291908677397436,1,9.0,9.0,4.0,0.8684495279788749,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,1,1,6.0,0,1,1,0,0,4,0,0.8094106494604092,1,0.767734651228363,0.044466867412666033,1,0.47340821128409516,0.767734651228363,1,7.0,8.0,7.0,0.8054148720418024,0,0,1,0,0,0,0,0,1,0,0,0,0
pos,1,1,12.0,1,0,3,0,1,7,0,0.9412709396538048,1,0.806621148412687,0.5528420424489013,0,0.6554632675077301,0.806621148412687,1,9.0,10.0,8.0,0.6274950193175504,0,1,0,0,0,1,0,0,0,0,1,0,0
pos,0,1,10.0,0,0,3,1,0,4,0,0.5535024231376234,1,0.5610457127611517,0.4774186804692994,1,0.5100415570555924,0.4774186804692994,1,6.0,6.0,7.0,0.524717540200619,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,3,0,0,9,0,0.6934131449251494,1,0.6327615596084877,0.6327605832411791,0,0.525709158236532,0.6327615596084877,1,10.0,10.0,8.0,0.2942031577720738,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,3,1,1,5,0,0.8245610725708842,1,0.7857394073449977,0.7857394073449977,3,0.5017996074278017,0.7857394073449977,1,7.0,8.0,8.0,0.8173249520268626,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,1.0,0,0,4,0,0,9,0,0.7262843680035791,1,0.7078020991917948,0.20590082921626163,0,0.6434564538107225,0.6704762074152596,0,5.0,6.0,6.0,0.16328026988871575,0,0,0,0,1,0,0,0,1,0,0,1,0
pos,0,1,11.0,0,0,1,0,1,3,0,0.7399036849379974,1,0.6862288742755999,0.323631407512039,3,0.5278516048439996,0.6862288742755999,1,8.0,9.0,10.0,0.44953486302481777,0,1,0,0,0,1,0,0,0,0,0,0,0
pos,0,1,18.0,0,0,2,0,1,2,0,0.6866280977510542,1,0.7218683985755343,0.30978624190364257,1,0.6562439987050311,0.30978624190364257,1,8.0,8.0,8.0,0.009506510340556384,0,0,0,0,1,1,0,0,0,0,0,0,0
pos,1,1,10.0,0,0,4,1,1,5,0,0.7357300831470104,1,0.6813937453155899,0.6813937453155899,3,0.5092161164589925,0.6813937453155899,1,7.0,7.0,6.0,0.49830343254978765,1,0,0,0,0,0,1,0,0,0,0,0,0
pos,1,1,11.0,0,0,2,0,1,4,0,0.8949024706353157,1,0.7429953167105123,0.2978698504557542,1,0.6754502879186475,0.3516873337224766,1,9.0,10.0,8.0,0.34098220797717754,0,0,0,1,0,0,0,0,0,1,0,0,0
pos,0,1,11.0,1,0,3,0,1,1,0,0.7918114324626748,1,0.7469253683801784,0.7469253683801784,0,0.6196849515881695,0.7469253683801784,1,10.0,10.0,7.0,0.18075199199135555,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,6.0,0,0,4,1,1,9,0,0.8230166117973745,1,0.7839001569418446,0.42843768781494873,3,0.5753239290414058,0.7839001569418446,1,6.0,9.0,9.0,0.3367145357072719,1,0,0,0,0,1,0,1,0,0,0,0,0
pos,0,1,10.0,0,0,1,1,1,1,0,0.7413446909932722,1,0.7050469465876086,0.21588053305185895,3,0.6409517696250987,0.6878998697697527,1,10.0,10.0,9.0,0.6993242393295989,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,10.0,0,0,5,1,0,0,0,0.7558461978014748,1,0.5783538157850491,0.07286747674154981,0,0.5257761961682264,0.49016309597355956,1,9.0,8.0,6.0,0.3146394451525382,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,9.0,0,0,2,1,0,0,0,0.8834517151244654,1,0.6476702192988911,0.3233306451811586,3,0.5448793025976556,0.6476702192988911,1,8.0,8.0,8.0,0.5621351478784238,0,0,1,1,0,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,1,1,0,8,0,0.8121584318553183,1,0.7709939087431982,0.07548034314822871,0,0.5681912518106401,0.7709939087431982,1,9.0,10.0,10.0,0.13669343265868245,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,11.0,1,0,3,0,0,5,0,0.8576270514127128,1,0.8253213671927078,0.4015242149716869,1,0.5644414949829297,0.8253213671927078,1,10.0,9.0,9.0,0.23926063228788957,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,1,1,10.0,0,0,1,0,1,1,0,0.630916504680031,1,0.6867221503860128,0.23959962333356088,0,0.6242928639872843,0.5622958274207135,1,9.0,9.0,4.0,0.5617313611954489,0,0,0,0,1,0,0,0,0,0,1,0,0
pos,1,1,15.0,0,0,1,1,0,1,0,0.5238401359661837,1,0.6319696526381631,0.44565467126184316,1,0.5745178660346937,0.44565467126184316,1,9.0,9.0,9.0,0.4966879103188023,0,0,1,0,1,0,1,0,0,0,0,0,0
pos,0,1,6.0,0,0,3,0,1,3,1,0.8919765451968451,0,0.9570258106483561,0.14225002587500057,0,0.8700234642257783,0.8668456881579435,1,7.0,7.0,10.0,0.06153666491976145,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,5.0,0,0,5,1,0,1,1,0.5437389527516303,0,1.0,0.1786095231273066,1,1.0,0.46691524922633704,1,10.0,10.0,7.0,0.14343576906656058,0,0,0,1,0,0,0,1,0,0,0,0,0
pos,1,1,12.0,0,0,4,1,0,7,0,0.7957866358046886,1,0.5678988436380132,0.289429335360442,0,0.5162716760345575,0.289429335360442,1,7.0,4.0,7.0,0.4446488689279137,0,0,0,1,0,0,0,0,0,0,1,0,0
pos,0,1,8.0,0,0,3,1,1,1,1,0.9555544580753121,0,0.923006069255007,0.8129115088249819,3,0.8390964265954608,0.8505060550281288,1,7.0,10.0,7.0,0.43255930038011753,0,0,0,1,0,1,0,0,0,0,0,0,0
pos,1,1,2.0,0,0,4,1,1,9,0,0.6817713062300754,1,0.6961073629484054,0.5507595542522884,1,0.6328248754076412,0.5507595542522884,0,7.0,8.0,9.0,0.25259335314049286,0,0,0,1,0,0,0,0,0,0,0,1,0
pos,0,1,7.0,0,0,4,1,1,1,0,0.7950229985702981,1,0.750714173157938,0.750714173157938,3,0.5214940470805232,0.750714173157938,1,4.0,8.0,7.0,0.27003803930899656,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,5,0,0,5,0,0.8670250653257517,1,0.8366418140724625,0.2043285582867611,1,0.6847148872242542,0.8366418140724625,1,10.0,10.0,10.0,0.6301605621571771,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,1,1,4.0,0,1,3,0,1,5,0,0.70731079442794,1,0.6054691601824743,0.2967419498854724,1,0.5504265092567948,0.5295908466573328,1,10.0,7.0,7.0,0.1346156710537894,1,0,0,0,0,1,1,0,0,0,0,0,0
pos,0,1,9.0,0,0,3,0,1,4,0,0.6857352088521983,1,0.624015763837378,0.624015763837378,0,0.5232769511683728,0.624015763837378,1,5.0,7.0,7.0,0.012263424624253672,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,7.0,0,1,2,1,0,1,0,0.8702666751224809,1,0.8405536568518506,0.8405536568518506,3,0.661989080717649,0.8405536568518506,1,8.0,9.0,9.0,0.6340233212468522,0,0,0,1,0,1,0,0,0,0,0,1,0
pos,0,1,12.0,0,0,5,1,0,4,0,0.7630631074286068,1,0.7131823243429651,0.6712047452365368,1,0.5464533657936044,0.7131823243429651,1,10.0,10.0,4.0,0.9856579376063208,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,7.0,0,0,4,1,1,5,0,0.7920052614545057,1,0.7107994054204756,0.3198197037864708,3,0.6461812776549778,0.3198197037864708,1,7.0,7.0,10.0,0.5115385236402332,1,0,0,0,0,0,0,0,0,0,0,0,0
