no_atbat,no_hits,no_home,no_runs,no_rbi,no_bb,yr_major,cr_atbat,cr_hits,cr_home,cr_runs,cr_rbi,cr_bb,no_outs,no_assts,no_error,logsalar,league_American,league_National,division_East,division_West,team_Atlanta,team_Baltimore,team_Boston,team_California,team_Chicago,team_Cincinnati,team_Cleveland,team_Detroit,team_Houston,team_KansasCity,team_LosAngeles,team_Milwaukee,team_Minneapolis,team_Montreal,team_NewYork,team_Oakland,team_Philadelphia,team_Pittsburgh,team_SanDiego,team_SanFrancisco,team_Seattle,team_StLouis,team_Texas,team_Toronto,position_1B,position_2B,position_3B,position_C,position_CF,position_DH,position_LF,position_OF,position_RF,position_SS,position_UT
293,66,1,30,29,14,1,293,66,1,30,29,14,446,33,20,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,6.163314804,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,6.1737861039,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,6.2146080984,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,4.5163389723,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,6.6200732065,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,4.248495242,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,4.605170186,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,4.3174881135,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,7.0030654588,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,6.248319432,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,6.239300711,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,6.3099182782,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,6.551080335,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,5.4806389233,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,39,3,20,15,11,3,201,42,3,20,16,11,118,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,6.6528630294,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,5.1647859739,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407,104,6,57,43,65,12,5233,1478,100,643,658,653,912,88,9,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,4.9052747784,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,4.605170186,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,4.7449321284,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
442,98,7,48,49,43,15,5982,1501,96,555,702,533,812,84,11,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,6.3969296552,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,6.6550116871,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,6.6398758338,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,6.5629143221,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,6.6200732065,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,6.4377516497,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,6.8023947633,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,127,221,7,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,4.7004803658,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
517,141,27,70,87,52,9,3571,994,215,545,652,337,1378,102,8,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,6.4175489424,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,5.7037824747,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,6.7452363495,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
